Rank,Release Group,Worldwide,Domestic,%,Foreign,%
801,Tom of Finland 2018 Re-release,"$15,483","$3,314",21.4%,"$12,169",78.6%
802,Narcissister Organ Player,"$15,334","$15,334",100%,-,-
803,People's Republic of Desire,"$15,241","$15,241",100%,-,-
804,Trust Machine: The Story of Blockchain,"$14,905","$14,905",100%,-,-
805,Ferrante Fever,"$14,518","$11,137",76.7%,"$3,381",23.3%
806,The Public Image is Rotten,"$14,464","$11,293",78.1%,"$3,171",21.9%
807,The Last Movie Star,"$14,410","$14,410",100%,-,-
808,Chasing the Blues,"$14,030","$14,030",100%,-,-
809,Weed the People,"$13,926","$13,926",100%,-,-
810,Stavisky...,"$13,793","$13,793",100%,-,-
811,Our Blood is Wine,"$13,210","$13,210",100%,-,-
812,Like Me,"$12,965","$12,965",100%,-,-
813,Kangaroo,"$12,626","$4,547",36%,"$8,079",64%
814,American Socialist: The Life and Times of Eugene Victor Debs,"$12,609","$12,609",100%,-,-
815,Of Fathers and Sons,"$12,579","$12,579",100%,-,-
816,My Art,"$12,554","$12,554",100%,-,-
