Rank,Release Group,Worldwide,Domestic,Foreign,filename,Year,Domestic %,Foreign %
228,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,movies-2019.csv,2019,0.5234484096030603,0.47655159039693973
229,Taken 3,326479141,89256424,237222717,movies-2015.csv,2015,0.27339089329446625,0.7266091067055338
230,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,movies-2015.csv,2015,0.5012331894993571,0.4987668105006429
231,Green Book,321752656,85080171,236672485,movies-2018.csv,2018,0.26442725308847176,0.7355727469115282
232,The Conjuring 2,320392818,102470008,217922810,movies-2016.csv,2016,0.31982617038562955,0.6801738296143705
233,The Conjuring,319494638,137400141,182094497,movies-2013.csv,2013,0.4300546070510266,0.5699453929489734
234,Sonic the Hedgehog,319104189,146066470,173037719,movies-2020.csv,2020,0.45773911792803196,0.542260882071968
235,The Expendables 2,314975955,85028192,229947763,movies-2012.csv,2012,0.26995137454222495,0.730048625457775
236,Maze Runner: The Scorch Trials,312296056,81697192,230598864,movies-2015.csv,2015,0.2616017411375826,0.7383982588624174
237,Resident Evil: The Final Chapter,312242626,26830068,285412558,movies-2016.csv,2016,0.085926986791355,0.914073013208645
238,The Lego Batman Movie,311950384,175750384,136200000,movies-2017.csv,2017,0.5633921066114155,0.4366078933885845
239,Knives Out,311398301,165363234,146035067,movies-2019.csv,2019,0.5310344772883009,0.46896552271169906
240,The Ex-File 3: The Return of The Exes,307592427,838959,306753468,movies-2017.csv,2017,0.002727502130603495,0.9972724978693965
241,The Fault in Our Stars,307166834,124872350,182294484,movies-2014.csv,2014,0.40652940414784494,0.593470595852155
242,Rise of the Guardians,306941670,103412758,203528912,movies-2012.csv,2012,0.33691338813657984,0.6630866118634202
243,Annabelle: Creation,306515884,102092201,204423683,movies-2017.csv,2017,0.33307311734617967,0.6669268826538203
244,Wonder,305937718,132422809,173514909,movies-2017.csv,2017,0.43284237676114196,0.5671576232388581
245,Skyscraper,304868961,68420120,236448841,movies-2018.csv,2018,0.22442468323300382,0.7755753167669962
246,A Good Day to Die Hard,304654182,67349198,237304984,movies-2013.csv,2013,0.22106769569964413,0.7789323043003559
247,Dangal,303723636,12391761,291331875,movies-2016.csv,2016,0.04079946217949267,0.9592005378205073
248,Passengers,303144152,100014699,203129453,movies-2016.csv,2016,0.3299245535173642,0.6700754464826357
249,Battleship,303025485,65422625,237602860,movies-2012.csv,2012,0.21589809517176417,0.7841019048282358
250,Wrath of the Titans,301970083,83670083,218300000,movies-2012.csv,2012,0.27708070338875257,0.7229192966112474
251,Alice Through the Looking Glass,299457024,77041381,222415643,movies-2016.csv,2016,0.257270241889534,0.7427297581104659
252,Real Steel,299268508,85468508,213800000,movies-2011.csv,2011,0.28559138604720813,0.7144086139527919
253,Ocean's Eight,297718711,140218711,157500000,movies-2018.csv,2018,0.47097715333048046,0.5290228466695195
254,The Divergent Series: Insurgent,297002527,130179072,166823455,movies-2015.csv,2015,0.4383096444159211,0.5616903555840789
